Alabama,Montgomery,Birmingham,Mobile
Alaska,Juneau,Anchorage,Fairbanks
Arizona,Phoenix,Glendale,Tucson
Arkansas,Little Rock,Fayetteville,Fort Smith
California,Sacramento,San Francisco,Los Angeles
Colorado,Denver,Colorado Springs,Aurora
Connecticut,Hartford,New Haven,Bridgeport
Delaware,Dover,Wilmington,Newark
Florida,Tallahassee,Jacksonville,Tampa
Georgia,Atlanta,Augusta,Savannah
Hawaii,Honolulu,Pearl City,Hilo
Idaho,Boise,Meridian,Nampa
Illinois,Springfield,Chicago,Rockford
Indiana,Indianapolis,Fort Wayne,Evansville
Iowa,Des Moines,Cedar Rapids,Davenport
Kansas,Topeka,Wichita,Kansas City
Kentucky,Frankfort,Louisville,Lexington
Louisiana,Baton Rouge,New Orleans,Lafayette
Maine,Augusta,Portland,Lewiston
Maryland,Annapolis,Baltimore,Silver Spring
Massachusetts,Boston,Cambridge,Worcester
Michigan,Lansing,Detroit,Grand Rapids
Minnesota,Saint Paul,Minneapolis,Duluth
Mississippi,Jackson,Gulfport,Southaven
Missouri,Jefferson City,St. Louis,Springfield
Montana,Helena,Billings,Missoula
Nebraska,Lincoln,Omaha,Lincoln
Nevada,Carson City,Las Vegas,Reno
New Hampshire,Concord,Manchester,Nashua
New Jersey,Trenton,Newark,Jersey City
New Mexico,Santa Fe,Albuquerque,Las Cruces
New York,Albany,Manhattan,Rochester
North Carolina,Raleigh,Charlotte,Durham
North Dakota,Bismarck,Fargo,Grand Forks
Ohio,Columbus,Cleveland,Cincinnati
Oklahoma,Oklahoma City,Tulsa,Norman
Oregon,Salem,Portland,Eugene
Pennsylvania,Harrisburg,Philadelphia,Pittsburgh
Rhode Island,Providence,Cranston,Warwick
South Carolina,Columbia,Charleston,Rock Hill
South Dakota,Pierre,Sioux Falls,Rapid City
Tennessee,Nashville,Memphis,Knoxville
Texas,Austin,Houston,Dallas
Utah,Salt Lake City,Provo,West Valley City
Vermont,Montpelier,Burlington,Essex
Virginia,Richmond,Chesapeake,Norfolk
Washington,Olympia,Seattle,Spokane
West Virginia,Charleston,Huntington,Morgantown
Wisconsin,Madison,Milwaukee,Green Bay
Wyoming,Cheyenne,Casper,Laramie
